,book_title,author,num_ratings,average_rating
0,Los Cuadernos del Destierro,Rafael Cardenas,32,4.84
1,Hunt for the Star,Dane Richter,53,4.83
2,CEO-Stories: Children Employed by Owners,Michael Eastwood,81,4.83
3,Shadow Team GB,J.M. Johnson,99,4.76
4,Shadow Team GB,J.M. Johnson,99,4.76
5,The Years Distilled: Verses,Dennis Sharpe,32,4.75
6,The Secret of Leifeng Pagoda,Ruby Gupta,88,4.74
7,Avaland,Amy Croucher Rose,31,4.71
8,Sunstruck,Melissa Bellis,53,4.68
9,Dreamers in Hell,Janet E. Morris,91,4.67
10,Un Aquilone di Farfalle: Romanzo,Giulietta Esthel,85,4.67
11,Roots of To-Be Templars,Widad Akreyi,48,4.67
12,The Peace of the Spirit Within: A Guide to Transform Your Life,Belzebuub,85,4.65
13,Happy Halloween,Othen Donald Dale Cummings,55,4.64
14,Homesick: New and Selected Stories,Lucia Berlin,67,4.63
15,A Butler Christmas,Rahiem Brooks,41,4.63
16,Finley’s Way,Julie Mannino,40,4.63
17,Knowing Jack,Julie Elizabeth Powell,47,4.62
18,Redstone,C.E.  Johnson,87,4.62
19,Fated to Love You,Kayla  Cunningham,53,4.62
20,Fated to Love You,Kayla  Cunningham,53,4.62
21,Chloe's Purpose,Julie Mannino,31,4.61
22,დიდოსტატის კონსტანტინეს მარჯვენა; დიონისოს ღიმილი,Konstantine Gamsakhurdia,58,4.6
23,Transfigurations: Collected Poems,Jay Wright,48,4.58
24,Puritan's Empire: A Catholic Perspective on American History,Charles A. Coulombe,83,4.58
25,Τα ποιήματα Β΄,Νίκος Καρούζος,37,4.57
26,Tilt,Ashley Chappell,55,4.56
27,Churning Waters,Meredith T. Taylor,64,4.56
28,Adapt and Plan for the New Abnormal of the COVID-19 Coronavirus Pandemic: Adapt and Plan for the New Abnormal of the COVID-19 Coronavirus Pandemic,Gleb Tsipursky,98,4.56
29,The DD Group: An Online Investigation Into the Death of Marilyn Monroe,David  Marshall,38,4.55
30,Baleful Beasts and Eerie Creatures,Andre Norton,67,4.55
31,Demented: A Short Horror Story Collection,Anna Gallegos,74,4.55
32,Scars and Voices: And Other Stories,Adam Carpenter Welles,94,4.55
33,Gazing Into the Eternal,Belzebuub,70,4.54
34,Осколки неба или подлинная история The Beatles,Юлий Буркин,54,4.54
35,Η καμένη βάτος,Manès Sperber,41,4.54
36,The Steps: 12 Secrets To Raising Happy and Successful Kids,Andrew    Watson,82,4.54
37,Pathogenesis,Peggy Munson,32,4.53
38,Sophia's Journal,Najiyah Maxfield,77,4.53
39,"The Naomi Poems, Book One: Corpse and Beans",Bill Knott,92,4.52
40,Behind the State Capitol or Cincinnati Pike,John Wieners,31,4.52
41,Angel Devil,Julie Mannino,62,4.52
42,Padre Pio's Words of Hope,Eileen Dunn Bertanzetti,67,4.51
43,Forward to Camelot,Susan Sloate,35,4.51
44,Jesus Our Eucharistic Love,Stefano M. Manelli,85,4.51
45,The Oracle's Journal,Dimitri Liountris,35,4.51
46,Leon the Lion,Julie Mannino,37,4.51
47,The Complete Tales from the Crypt,William M. Gaines,64,4.5
48,The Sitting Swing: Finding Wisdom to Know the Difference,Irene Watson,32,4.5
49,Twisted,Anna Gallegos,52,4.5
50,Leading Hybrid and Remote Teams: A Manual on Benchmarking to Best Practices for Competitive Advantage,Gleb Tsipursky,50,4.5
51,Oneiromance,Kathleen Rooney,68,4.49
52,The Plea of Apollisian,Shane Moore Katie Chatfield,47,4.49
53,The Oxford History of Western Music: 6-Volume Set,Richard Taruskin,80,4.48
54,The Toonies Invade Silicon Valley,Betty Dravis,64,4.48
55,Arctic Fox: Life at the Top of the World,Garry Hamilton,33,4.48
56,"Forever, Christian",Tina Traverse,67,4.48
57,Savage Wrongs,Cassie Edwards,79,4.47
58,Just Around The Bend: Más o Menos,Renée Paule,62,4.47
59,"Licit and Illicit Drugs; The Consumers Union Report on Narcotics, Stimulants, Depressants, Inhalants, Hallucinogens and Marijuana-Including Caffeine, Nicotine and Alcohol",Edward M. Brecher,41,4.46
60,Home: A Hidden Tale - Sinister Tales,Anna Gallegos,31,4.45
61,The Ringing Ear: Black Poets Lean South,Nikky Finney,45,4.42
62,Savage Lies,Cassie Edwards,86,4.42
63,The Tragedy of the Chinese Revolution,Harold R. Isaacs,53,4.42
64,Dragons Don't Dance Ballet,Jennifer Carson,79,4.42
65,18 Platoon,JARY,78,4.41
66,Exposition of the Divine Principle,Sun Myung Moon,82,4.41
67,A Visual Guide to Gospel Events: Fascinating Insights into Where They Happened and Why,James C. Martin,49,4.41
68,"The Knight, Death and the Devil",Ella Leffland,73,4.4
69,The Door in the Sky,Sandy Klein Bernstein,63,4.4
70,Fruzzle's Mystery Talent: A Bed Time Fantasy Story for Children ages 3-10,Karen (Kara) Brueggeman,70,4.4
71,The Selected Poems of Rosario Castellanos (Palbra Sur Book),Rosario Castellanos,69,4.39
72,The Sound of Suffering,Darin C.  Brown,99,4.39
73,"His Toy, His Dream, His Rest",John Berryman,69,4.38
74,The Star Realm,Julie Elizabeth Powell,42,4.38
75,The Simon and Kirby Library: Horror,Joe Simon,58,4.38
76,Song Bird: Matters of the Heart,Christine M. Knight,45,4.38
77,Dakota Son,Mary Ramsey,93,4.38
78,Loki's Price,Julie Mannino,64,4.38
79,The United Methodist Hymnal,United Methodist Church,94,4.37
80,Waiting to Live,Asa Don Brown,63,4.37
81,Southern Mystical Moments,Patricia H. Graham,91,4.37
82,Clearly's Corruption,Taylor Ann Bunker,43,4.37
83,Book One: Sporadic Memories,Ali Marsman,70,4.36
84,Conjunction,A.D. Zoltan,70,4.36
85,"The revolution and the civil war in Spain,",Pierre Broué,83,4.35
86,How to Avoid Huge Ships,John W. Trimmer,68,4.35
87,A Cowgirl Remembers When...,Dawn Nelson,31,4.35
88,Valhalla,Scott McElhaney,31,4.35
89,Lady with a Spear,Eugenie Clark,95,4.34
90,Travelling in the Family: Selected Poems,Carlos Drummond de Andrade,41,4.34
91,Ben Israel: The Spiritual Odyssey of a Modern Man,Arthur Katz,62,4.34
92,"Titans, Humans, And The Beasts",Cristina M. Sburlea,41,4.34
93,Anthology of Australian Aboriginal Literature,Anita Heiss,49,4.33
94,Piecas dienas,Anšlavs Eglītis,54,4.33
95,The Piper,Julie Mannino,45,4.33
96,Yes We Can: Barack Obama's History-Making Presidential Campaign,Scout Tufankjian,82,4.32
97,Joseph,F.B. Meyer,53,4.32
98,Creeping Death from Neptune: Horror and Science Fiction Comics,Basil Wolverton,75,4.32
99,Letters From Your Soul,Victor Noble,63,4.32
100,Gray Hawk of Terrapin,Moss Whelan,47,4.32
101,Tippy the Knight,Julie Mannino,50,4.32
102,"The Trial / America / The Castle / Metamorphosis / In the Penal Settlement / The Great Wall of China / Investigations of a Dog / Letter to His Father / The Diaries, 1910–23: Complete & Unabridged",Franz Kafka,59,4.31
103,The Bullet Collection,Patricia Sarrafian Ward,45,4.31
104,Dogs in Lingerie,Danielle Willis,54,4.31
105,The Guaymas Chronicles: La Mandadera,David E. Stuart,62,4.31
106,Anne Frank House: A Museum With a Story,Janrense Boonstra Marie-Jose Rjinders,39,4.31
107,"Slide, a Modern Satire on the Excess of Greed",Saira Viola,49,4.31
108,Don Camillo della Bassa: Gente così - Lo spumarino pallido,Giovannino Guareschi,83,4.31
109,"Blackamoores: Africans in Tudor England, Their Presence, Status and Origins",Onyeka,99,4.31
110,The Singularity is Coming: The Artificial Intelligence Explosion,Tony  Thorne,62,4.31
111,Secret Deceptions,James Sillwood,54,4.31
112,The Collected Macabre Stories,L.P. Hartley,37,4.3
113,Nachtmahr: Strange Tales,Hanns Heinz Ewers,83,4.3
114,Shakespeare: An Oxford Guide,Stanley Wells,38,4.29
115,In Light of Shadows: More Gothic Tales by Izumi Kyoka,Kyōka Izumi,97,4.29
116,The Art and Science of Learning Languages,Amorey Gethin,34,4.29
117,"Deadly Pretty Strangers: One dead body, one bereaved mother, one small favour ...",Max Thorn,38,4.29
118,A Newborn Business: Esports,Zoltan Andrejkovics,70,4.29
119,Omens,Richard Gavin,69,4.28
120,When I Go to Sleep,Belzebuub,74,4.28
121,Evolution of Insanity,Haresh Daswani,76,4.28
122,Arana's Visitor,Julie Rollins,91,4.27
123,The Case of the Cosmological Killer: The Rendlesham Incident,Stephanie Osborn,49,4.27
124,"A Biography of The Prophet of Islam , In the Light of the Original Sources An Analytical Study",Mahdi Rizqullah Ahmad,31,4.26
125,The Scent of Cinnamon,Charles Lambert,47,4.26
126,Lucky Go Happy: Make Happiness Happen!,Paul Van Der Merwe,88,4.26
127,The Nature of the Chemical Bond and the Structure of Molecules and Crystals; An Introduction to Modern Structural Chemistry.,Linus Pauling,57,4.25
128,The Last Pharaoh: Mubarak and the Uncertain Future of Egypt in the Volatile Mid East,Aladdin Elaasar,48,4.25
129,Blessed Are You: Mother Teresa and the Beatitudes,Eileen Egan,32,4.25
130,The Case of the Displaced Detective: At Speed,Stephanie Osborn,72,4.25
131,Messages From Heaven,Collette Sinclaire,75,4.25
132,Verdammt. Verliebt.,Simona Dobrescu,91,4.24
133,A New World: An Epic of Colonial America,Arthur Quinn,80,4.23
134,REAL: THE LETTERS OF MINA HARKER AND SAM D'ALLESANDRO,Dodie Bellamy,46,4.22
135,An Ordinary Woman's Extraordinary Faith,Patricia St. John,60,4.22
136,Where You Came From,Sara O'Leary,97,4.22
137,Systematic Theology Vol 1: Ethics,James William McClendon Jr.,87,4.21
138,In the Shadow of the Magic Mountain: The Erika and Klaus Mann Story,Andrea Weiss,85,4.21
139,Moses: The Servant of God,F.B. Meyer,75,4.21
140,Let My People Go: 15 текстів про українську революцію.,Oksana Zabuzhko,63,4.21
141,The Rainbow Bridge: Bridge to Inner Peace and to World Peace,Brent N. Hunter,66,4.21
142,The Gateway,Scott McElhaney,33,4.21
143,What We Think We Become,Durgesh Satpathy,39,4.21
144,Feminism and War: Confronting U.S. Imperialism,Robin L. Riley,74,4.2
145,"White Logic, White Methods: Racism and Methodology",Tukufu Zuberi,88,4.2
146,Cynric Ella,Julie Mannino,61,4.2
147,Henry James: A Life in Letters,Henry James,42,4.19
148,The Future's So Bright I Can't Bear to Look,Tom Tomorrow,64,4.19
149,From the Bottom of the Heap: The Autobiography of Black Panther Robert Hillary King,Robert Hillary King,53,4.19
150,The Dionysus Connection,Liz  Cowan,75,4.19
151,Life Song,Christine M. Knight,94,4.19
152,Exordium of Tears,Andrew P. Weston,62,4.19
153,Prince of Pain III,Julie Mannino,93,4.19
154,The Hunted,Julie Mannino,38,4.18
155,GOOD BURGER 2 GO: NICKELODEON,Steve Holland,69,4.17
156,The Mind of the Master Class: History and Faith in the Southern Slaveholders' Worldview,Elizabeth Fox-Genovese,54,4.17
157,Letters to a Devastated Christian,Gene Edwards,94,4.17
158,On Russian Music,Richard Taruskin,35,4.17
159,Immortal,Valjeanne Jeffers,86,4.17
160,The Truth-Seeker’s Handbook: A Science-Based Guide,Gleb Tsipursky,78,4.17
161,Christmas in Heaven,Sylvia Browne,68,4.16
162,A Murmur in the Trees,Emily Dickinson,64,4.16
163,Blood Thirst,L.A. Freed,74,4.16
164,The Real Book of the Dead,Collette Sinclaire,74,4.16
165,Amatore's Restaurant,James Sillwood,98,4.16
166,Kepler Moon Alpha,Scott McElhaney,57,4.16
167,A Touch of Savagery,Julie Mannino,57,4.16
168,Frege: Philosophy of Language,Michael Dummett,80,4.15
169,Life Themes: Spiritual Evolvement,Sylvia Brown,52,4.15
170,Nina Schenk Gräfin von Stauffenberg: Ein Porträt,Konstanze von Schulthess,61,4.15
171,Why Not-World,Alexei Maxim Russell,61,4.15
172,Ailene,Annabel den Dekker,78,4.15
173,Ghouls in My Grave,Jean Ray,74,4.14
174,Skull Full of Kisses,Michael  West,73,4.14
175,The Beginning,Kevin J.  Howard,70,4.14
176,Valentine,Julie Mannino,94,4.14
177,Mus of Kerbridge,Paul Kidd,78,4.13
178,Black Hole,Scott McElhaney,39,4.13
179,The Outcasts - A Thousand Dreams of Redemption,Lidija Stankovikj,32,4.13
180,Flor de obsessão: As 1000 melhores frases de Nelson Rodrigues,Nelson Rodrigues,41,4.12
181,Selected Writings,Aleksandra Kollontai,69,4.12
182,Temporary People,Steven Gillis,33,4.12
183,Bob Powell's Terror,Bob Powell,76,4.12
184,"Wildmen, Wobblies & Whistle Punks: Stewart Holbrook's Lowbrow Northwest",Stewart Hall Holbrook,90,4.11
185,Before We Are Born: Essentials of Embryology and Birth Defects,Keith L. Moore,76,4.11
186,The Original Dr. Shade and Other Stories,Kim Newman,56,4.11
187,Hellboy and the B.P.R.D.: 1952 #1,John Arcudi,37,4.11
188,The Different Kinds Of Monsters: A Psychological and Supernatural Horror Novel,Seth Chambers,72,4.11
189,From Maid to Duchess,Regina James,76,4.11
190,View Points and Points of View: A 'Phoetry Book' from Cornwall,Clive Blake,42,4.1
191,The Stalin School of Falsification,Leon Trotsky,51,4.1
192,Togainu no Chi Volume 5,Suguro Chayamachi,68,4.1
193,Project Terror,Jamal Lewis,31,4.1
194,Wonders of the West,Kate Braverman,44,4.09
195,Madita und Lisabet aus Birkenlund. Sonderausgabe. (Ab 6 J.).,Astrid Lindgren,44,4.09
196,The Mystery of Revenge,G.X. Chen,82,4.09
197,Asylum: A Hidden Tale - Sinister Tales,Anna Gallegos,35,4.09
198,All of the Rogers,Erin Lockwood,74,4.09
199,Feel Me,James  Hudson,33,4.09
200,Bloody Sunday: Massacre in Northern Ireland : The Eyewitness Accounts,John Scally,38,4.08
201,東京ラブストーリー,Fumi Saimon,57,4.07
202,The Time of Light,Gunnar Kopperud,57,4.07
203,Boca de Luar,Carlos Drummond de Andrade,70,4.07
204,"Dorothy Of Oz, Volume 2",Son Hee-Joon,88,4.07
205,Tales Of The Grotesque: A Collection Of Uneasy Tales,L.A.   Lewis,60,4.07
206,How Not to Murder Your Grumpy,Carol Wyer,99,4.07
207,Soul Clap Hands and Sing,Paule Marshall,50,4.06
208,The Beyond,Jean Sutton,33,4.06
209,Dreamhouse,Douglas Borton,34,4.06
210,Voices From Punktown,Jeffrey Thomas,68,4.06
211,Undying,Bernadette Azizi,50,4.06
212,Inside the Bubble,Noga Niv,88,4.06
213,I Am Waltz,Matthew D. Dho,53,4.06
214,A Touch of Innocence,Julie Mannino,67,4.06
215,In Defense of Socialism: Four Speeches on the 30th Anniversary of the Cuban Revolution,Fidel Castro,39,4.05
216,Conversations with Kazuo Ishiguro,Brian W. Shaffer,80,4.05
217,Great Tales of Terror from Europe and America: Gothic Stories of Horror and Romance 1765-1840,Peter Haining,44,4.05
218,Orope - The White Snake,Guenevere Lee,82,4.05
219,Prince of Pain IV,Julie Mannino,85,4.05
220,Corduroy's Toys,Don Freeman,55,4.04
221,"The Chilling Archives of Horror Comics, Vol. 3: Zombies",Jack Cole,77,4.04
222,Prince of Pain II,Julie Mannino,98,4.04
